metric,month,value
asp_value_usd_m,2022-01-01,138.6720439195439
asp_value_usd_m,2022-02-01,127.01320912612857
asp_value_usd_m,2022-03-01,142.8814397552737
asp_value_usd_m,2022-04-01,199.26242652287092
asp_value_usd_m,2022-05-01,192.32796074373604
asp_value_usd_m,2022-06-01,246.15019687211347
asp_value_usd_m,2022-07-01,267.26933525747563
asp_value_usd_m,2022-08-01,302.0156492243642
asp_value_usd_m,2022-09-01,440.62999076645565
asp_value_usd_m,2022-10-01,262.8019715549699
asp_value_usd_m,2022-11-01,169.52481174286413
asp_value_usd_m,2022-12-01,193.20151867769457
asp_value_usd_m,2023-01-01,200.47060146108478
asp_value_usd_m,2023-02-01,188.76643761858048
asp_value_usd_m,2023-03-01,183.04454700597987
asp_value_usd_m,2023-04-01,219.4344803664685
asp_value_usd_m,2023-05-01,230.44330524124433
asp_value_usd_m,2023-06-01,233.74662643327363
asp_value_usd_m,2023-07-01,299.5857295194843
asp_value_usd_m,2023-08-01,270.0481663445365
asp_value_usd_m,2023-09-01,437.0930749772356
asp_value_usd_m,2023-10-01,280.74493946046135
asp_value_usd_m,2023-11-01,163.62512474255803
asp_value_usd_m,2023-12-01,150.38542423731653
asp_value_usd_m,2024-01-01,163.0701481645731
asp_value_usd_m,2024-02-01,154.8134418330228
asp_value_usd_m,2024-03-01,158.82610121349873
asp_value_usd_m,2024-04-01,174.74203411001028
asp_value_usd_m,2024-05-01,180.20360008638227
asp_value_usd_m,2024-06-01,200.20738826252625
asp_value_usd_m,2024-07-01,197.62483284687795
asp_value_usd_m,2024-08-01,269.85225033508226
asp_value_usd_m,2024-09-01,345.70858709660365
asp_value_usd_m,2024-10-01,239.46627372639693
asp_value_usd_m,2024-11-01,114.96783749658661
asp_value_usd_m,2024-12-01,167.4367465857034
asp_value_usd_m,2025-01-01,166.6119758655442
asp_value_usd_m,2025-02-01,135.8861269798458
asp_value_usd_m,2025-03-01,148.53534460441122
asp_value_usd_m,2025-04-01,153.3936108193365
asp_value_usd_m,2025-05-01,168.2296138890562
asp_value_usd_m,2025-06-01,191.93986546289378
asp_value_usd_m,2025-07-01,222.07696982681102
asp_value_usd_m,2025-08-01,307.6578785380958
asp_value_usd_m,2025-09-01,327.58303416470085
asp_value_usd_m,2025-10-01,183.50940295680064
asp_value_usd_m,2025-11-01,120.74134894073967
